Rank,Feature,FisherScore
1,TotalPT,15393.795868309055
2,PT2,8852.599772573236
3,PT1,8839.559658883985
4,VertexChisq,5813.9350380840215
5,MASS,3377.9569285446496
6,Isolation,2316.6377139898113
7,P2,663.0528741822442
8,P1,657.405893262541
